name,address,business_status,latitude,longitude
ALL IN PADEL SPORTS,"Decathlon Village (Parking Sud) Rn 8 La Petite Bastide, avenue des Chabauds, Bouc-Bel-Air",OPERATIONAL,43.430164,5.400238
Padel Marseille,"92 Chem. des Accates, Marseille",OPERATIONAL,43.30179589999999,5.4927682
Park Club Arbois - Padel Tennis,"Rte de Calas, Cabriès",OPERATIONAL,43.4267784,5.3660035
Padel Tennis Club Gémenos,"161 Chem. du Puits, Gémenos",OPERATIONAL,43.2863409,5.617627499999999
Country Club Padel,"1195 Chem. des Cruyes, Aix-en-Provence",OPERATIONAL,43.568748,5.416688400000001
Padel Bocage,"All. Pierre de Coubertin, Plan-de-Cuques",OPERATIONAL,43.3396911,5.4599962
WORK AND PADEL PIOLINE,"Chem. de la Pioline, Aix-en-Provence",OPERATIONAL,43.5085107,5.4087401
WIN WIN PADEL,"Route de Calas, Cabriès",OPERATIONAL,43.4267322,5.3658946
Work And Padel Hopps,"PARC PICHAURY, 1330 Rue Jean René Guillibert Gauthier de la Lauzière, Aix-en-Provence",OPERATIONAL,43.4744435,5.3670886
Z5 Padel Aix,"205 Av. du 12 Juillet 1998, Aix-en-Provence",OPERATIONAL,43.4791322,5.3971455
ALL IN PADEL ASSOCIATION,"Petite Bastide Village Decathlon, Bouc-Bel-Air",OPERATIONAL,43.430161,5.400237
AUC TENNIS - PADEL,"COMPLEXE SPORTIF DU VAL DE l'ARC, Aix-en-Provence",OPERATIONAL,43.511,5.4665057
AS Tennis Padel Ceyreste,"38 Av. Eugène Julien, Ceyreste",OPERATIONAL,43.2225364,5.6302169
The Monkey Padel,"2331 Vieux Chemin de Lambesc, Pélissanne",OPERATIONAL,43.6438293,5.1638598
Tennis et Padel club presqu'île,"Unnamed Road, Cassis",OPERATIONAL,43.2049825,5.5174964
Sporting Club Cassis Tennis & Padel,"Av. des Gorguettes, Cassis",OPERATIONAL,43.23013539999999,5.5344393
Tennis Padel Club Peynier,"La Garenne, Peynier",OPERATIONAL,43.4465984,5.633185000000001
Z5 Padel Istres,"Rte de la Cabane Noire, Istres",OPERATIONAL,43.4749902,4.9959462
Luminy Tennis Academy | Tennis & Padel,"Rue Henri Cochet, Marseille",OPERATIONAL,43.23818869999999,5.430134799999999
